run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,100,62,"[67.0, 29.0, 5.0, 93.0, 80.0]",68.36,0,0
1,2,201,62,"[67.0, 29.0, 5.0, 93.0, 80.0]",68.36,0,0
1,3,302,15,"[86.5847, 72.566, 45.0588, 54.2016, 35.6542]",60.056,0,0
1,4,403,96,"[77.5922, 73.8365, 32.0468, 45.6508, 57.0123]",57.254,0,0
1,5,504,40,"[88.8378, 96.1862, 51.2472, 42.4472, 53.3964]",48.636,0,0
1,6,605,3,"[82.6104, 67.3632, 53.8031, 54.7019, 53.4813]",34.835,0,0
1,7,706,94,"[85.6007, 81.0764, 55.1192, 48.2288, 57.2779]",11.156,0,0
1,8,807,94,"[85.6007, 81.0764, 55.1192, 48.2288, 57.2779]",11.156,0,0
1,9,908,94,"[85.6007, 81.0764, 55.1192, 48.2288, 57.2779]",11.156,0,0
1,10,1009,94,"[85.6007, 81.0764, 55.1192, 48.2288, 57.2779]",11.156,0,0
1,11,1110,94,"[85.6007, 81.0764, 55.1192, 48.2288, 57.2779]",11.156,0,0
1,12,1211,94,"[85.6007, 81.0764, 55.1192, 48.2288, 57.2779]",11.156,0,0
1,13,1312,94,"[85.6007, 81.0764, 55.1192, 48.2288, 57.2779]",11.156,0,0
1,14,1413,94,"[82.8945, 77.492, 52.0977, 43.8118, 56.0722]",10.426,0,0
1,15,1514,94,"[82.8945, 77.492, 52.0977, 43.8118, 56.0722]",10.426,0,0
1,16,1615,94,"[82.8945, 77.492, 52.0977, 43.8118, 56.0722]",10.426,0,0
1,17,1716,94,"[82.8945, 77.492, 52.0977, 43.8118, 56.0722]",10.426,0,0
1,18,1817,30,"[86.1578, 76.5969, 53.1664, 47.7238, 53.8174]",7.559,0,0
1,19,1918,83,"[87.0283, 76.4332, 54.0871, 45.3649, 55.4507]",6.194,0,0
1,20,2019,88,"[86.7196, 77.0875, 53.9488, 45.688, 56.6717]",4.129,0,0
1,21,2120,88,"[86.7196, 77.0875, 53.9488, 45.688, 56.6717]",4.129,0,0
1,22,2221,88,"[86.7196, 77.0875, 53.9488, 45.688, 56.6717]",4.129,0,0
1,23,2322,30,"[86.3541, 77.873, 53.3877, 45.3131, 56.7129]",3.484,0,0
1,24,2423,30,"[86.3541, 77.873, 53.3877, 45.3131, 56.7129]",3.484,0,0
1,25,2524,30,"[86.3541, 77.873, 53.3877, 45.3131, 56.7129]",3.484,0,0
1,26,2625,30,"[86.3541, 77.873, 53.3877, 45.3131, 56.7129]",3.484,0,0
1,27,2726,30,"[86.3541, 77.873, 53.3877, 45.3131, 56.7129]",3.484,0,0
1,28,2827,37,"[86.3696, 77.8985, 53.6352, 45.8618, 55.5216]",3.294,0,0
1,29,2928,10,"[86.1041, 77.9699, 53.4555, 45.8477, 55.681]",2.724,0,0
1,30,3029,73,"[86.4597, 77.8426, 52.6868, 46.2584, 56.0967]",1.776,0,0
1,31,3130,30,"[85.9558, 77.846, 52.5793, 46.7592, 56.1823]",1.297,0,0
1,32,3231,88,"[85.9914, 78.0933, 52.9405, 46.8015, 56.3264]",1.231,0,0
1,33,3332,88,"[85.9914, 78.0933, 52.9405, 46.8015, 56.3264]",1.231,0,0
1,34,3433,88,"[85.9914, 78.0933, 52.9405, 46.8015, 56.3264]",1.231,0,0
1,35,3534,88,"[85.9914, 78.0933, 52.9405, 46.8015, 56.3264]",1.231,0,0
1,36,3635,88,"[85.9914, 78.0933, 52.9405, 46.8015, 56.3264]",1.231,0,0
1,37,3736,88,"[85.9914, 78.0933, 52.9405, 46.8015, 56.3264]",1.231,0,0
1,38,3837,88,"[85.9914, 78.0933, 52.9405, 46.8015, 56.3264]",1.231,0,0
1,39,3938,30,"[85.9005, 78.0775, 53.0141, 46.8017, 56.3517]",1.192,0,0
1,40,4039,30,"[85.9005, 78.0775, 53.0141, 46.8017, 56.3517]",1.192,0,0
1,41,4140,30,"[85.9005, 78.0775, 53.0141, 46.8017, 56.3517]",1.192,0,0
1,42,4241,11,"[85.7475, 77.9117, 53.0334, 46.6503, 56.0918]",0.994,0,0
1,43,4342,88,"[85.7436, 77.892, 53.0489, 46.6411, 56.2824]",0.77,0,0
1,44,4443,88,"[85.7436, 77.892, 53.0489, 46.6411, 56.2824]",0.77,0,0
